"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG",filter,quote,"BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5",jahr,"GLIEDERUNG",id,region
"Bevölkerung","Frauenanteil","Deutsche","49,9","17233","34557","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Frauenanteil","gesamt","52,1","27239","52257","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Frauenanteil","Ausländerinnen","8,3","1","12","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Frauenanteil","Ausländerinnen","48,9","5255","10746","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Frauenanteil","Ausländerinnen","47,9","6988","14581","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Frauenanteil","Ausländerinnen","46,5","4525","9730","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Frauenanteil","Ausländerinnen","48","151733","315924","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Frauenanteil","Ausländerinnen","45,4","5130","11304","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Frauenanteil","Deutsche","54,1","37132","68607","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Frauenanteil","Deutsche","53,9","19632","36438","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Frauenanteil","Deutsche","54,2","27057","49906","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Frauenanteil","Deutsche","53,2","33552","63015","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Frauenanteil","gesamt","52,5","26930","51329","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","25","25 Laim"
"Bevölkerung","Frauenanteil","Ausländerinnen","49,1","6198","12635","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Frauenanteil","Deutsche","51","25068","49155","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Frauenanteil","Ausländerinnen","49,4","5939","12011","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Frauenanteil","Ausländerinnen","44,2","5762","13042","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Frauenanteil","gesamt","52,8","40694","77112","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Frauenanteil","gesamt","51,8","53889","104089","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Frauenanteil","Deutsche","52,5","39593","75487","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Frauenanteil","Ausländerinnen","48,8","5474","11209","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","25","25 Laim"
"Bevölkerung","Frauenanteil","Ausländerinnen","44,2","4337","9819","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Frauenanteil","Ausländerinnen","49,3","4813","9765","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Frauenanteil","Ausländerinnen","46,9","6284","13394","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Frauenanteil","Ausländerinnen","46,9","2059","4386","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Frauenanteil","Ausländerinnen","48,2","5897","12247","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Frauenanteil","gesamt","50,3","14470","28796","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","23","23 Allach - Untermenzing"
